ID,Image,Orientation,Height (mm),Width (mm),Made On,Title,Medium,Location,Painting Cost,Framed,Framing Cost,List Price,Featured,Status,Exhibited,Sales Channel,Sold On,Sold Price,Bought By
78,/art/78.jpg,Horizontal,380,530,04/07/2025,Fehmarnbelt,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
79,/art/79.jpg,Horizontal,380,530,04/07/2025,Krähenteich-Wiese,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
80,/art/80.jpg,Horizontal,380,530,04/07/2025,Schwerin Castle,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
81,/art/81.jpg,Horizontal,380,530,04/07/2025,Luneburg Harbor,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
82,/art/82.jpg,Horizontal,380,530,04/07/2025,Luneburg Town Hall,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
83,/art/83.jpg,Vertical,530,380,04/07/2025,Am Sande,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
84,/art/84.jpg,Horizontal,380,530,04/07/2025,Under the Oaks,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
85,/art/85.jpg,Horizontal,380,530,04/07/2025,Masjid Hajjah Fatimah,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
86,/art/86.jpg,Horizontal,380,530,04/07/2025,Mobius Strip,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
87,/art/87.jpg,Horizontal,380,530,04/07/2025,Srisun Express,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
88,/art/88.jpg,Horizontal,380,530,05/07/2025,Inspiration,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
89,/art/89.jpg,Vertical,530,380,08/07/2025,Rush Hour,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
90,/art/90.jpg,Horizontal,380,530,12/07/2025,Chiaroscuro,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
91,/art/91.jpg,Horizontal,380,530,12/07/2025,Notan,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
92,/art/92.jpg,Horizontal,380,530,19/07/2025,Serangoon Circus,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
93,/art/93.jpg,Horizontal,380,530,19/07/2025,Masjid Alkaff,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
94,/art/94.jpg,Vertical,530,380,20/07/2025,Chinatown Dawn,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
